filename,time,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept
2020-09-15_142745_NOORDWK70_2020004020,14:44,7.884928571428572,7.895,7.896807692307694,7.897,1.3071699842896765e-11,68.0,7.8985,7.8985,2.7330465083980602e-06,0.0007302967433403438,7.898500014804238
2020-09-15_145318_WALCRN70_2020004013,15:10,7.90274074074074,7.905,7.9059591836734695,7.906000000000001,1.4691969280227248e-11,70.0,7.906909090909092,7.907,7.612598402465471e-06,0.0011361818036337331,7.906909074379887
2020-09-15_151800_NOORDWK10_2020004018,15:34,7.822913580246914,7.82,7.817551020408163,7.817,1.797361431715846e-06,64.0,7.815941176470589,7.816,4.230478884061203e-06,0.0012485285456935364,7.817882455909683
2020-09-15_154239_TERSLG50_2020004022,15:58,7.8440987654321,7.848,7.848755102040816,7.849,6.880705119906238e-08,63.0,7.849388888888888,7.849,2.4273679077097416e-06,0.0007775443160350935,7.849462687410003
2020-09-15_160630_NOORDWK20_2020004019,16:20,7.861777777777776,7.864,7.864714285714286,7.865,1.3675980392819029e-07,55.0,7.865000000000001,7.865,1.3311181022000576e-06,0.0007483314773550382,7.864861516685904
2020-09-15_163010_TERSLG10_2020004021,16:43,7.876987654320987,7.881,7.882102040816326,7.882000000000001,9.948494883583356e-12,54.0,7.882296296296297,7.882000000000001,1.459583752984365e-06,0.0008688991627253835,7.882296306295045
2020-09-15_165314_CRM2,17:11,7.946592592592593,7.952000000000001,7.953571428571428,7.954,1.4814386834101273e-10,72.0,7.9545555555555545,7.955,4.8492164041991975e-06,0.0005270462766949059,7.954555724447416
2020-09-16_102128_CRM1,10:27,7.961675,7.962000000000001,7.962,7.961500000000001,1.9606188083742988e-07,24.0,7.962125,7.962000000000001,3.5825912778713316e-06,0.0009574271077559776,7.962217653122328
2020-09-16_103737_GOERE6_2020004016,10:54,7.820320987654322,7.811,7.806571428571428,7.805,5.8607508484391115e-06,68.0,7.802538461538463,7.8020000000000005,4.167637924736074e-06,0.000877058019306673,7.809044247526935
2020-09-16_110016_SCHOUWN10_2020004014,11:19,7.823839506172841,7.827999999999999,7.829836734693878,7.83,0.0,75.0,7.831,7.831,1.5936381457797235e-05,0.0008944271910002145,7.831
2020-09-16_112313_WALCRN20_2020004012,11:45,7.927289256198348,7.935,7.935674157303372,7.936,8.06215714358901e-08,90.0,7.937451612903226,7.938,1.3541307787145972e-06,0.0009946091251480963,7.937324629608459
2020-09-16_121738_GOERE2_2020004015,12:46,7.815166666666666,7.807,7.805920454545455,7.805,1.9048005984843993e-06,114.0,7.802166666666667,7.8020000000000005,7.211058078557124e-06,0.00040824829046363676,7.805495430794425
2020-09-16_125016_NOORDWK20_2020003075,13:13,7.801425,7.803,7.803647727272727,7.803999999999999,1.3135692381283816e-07,91.0,7.804344827586208,7.803999999999999,1.467077721600882e-06,0.0009737945687202211,7.804551723034818
