filename,time,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept
2020-09-10_103422_CRM1,10:39,7.960975,7.961,7.961125,7.961,2.597241832015981e-07,19.0,7.961095238095241,7.961,1.7252399182890767e-06,0.0007003400534572602,7.960982250889845
2020-09-10_105117_TERSLG10_2020005969,11:00,8.05632098765432,8.059,8.060367346938776,8.06,4.093037019655655e-06,36.0,8.060577777777779,8.061,5.760309441390594e-07,0.0010972877489705663,8.057016691495775
2020-09-10_111641_TERSLG50_2020005970,11:19,8.052204819277108,8.052,8.052313725490196,8.052,4.286889643114697e-09,11.0,8.052305555555556,8.052,3.0403990255939176e-07,0.000798570710687747,8.05230256531017
2020-09-10_114043_TERSLG100_2020005971,11:50,8.034617283950617,8.033999999999999,8.03361224489796,8.033999999999999,1.0800191065265509e-08,39.0,8.033619047619048,8.033999999999999,5.351496463211513e-07,0.0006228330611545704,8.033628687166296
2020-09-10_120444_TERSLG135_2020005972,12:19,7.983987654320988,7.982,7.980877551020409,7.981,8.657315034211693e-08,60.0,7.980523809523809,7.981,2.4173930984073886e-06,0.0009807674351775108,7.980432903679992
2020-09-10_122924_TERSLG175_2020005983,12:42,7.9566790123456785,7.956,7.955428571428571,7.955,1.822938465538593e-08,53.0,7.9549642857142855,7.955,1.3320246793859785e-06,0.0008380817098478057,7.9549824704024426
2020-09-10_125429_TERSLG175_2020005973,12:59,7.952518518518518,7.952999999999999,7.953102040816327,7.952999999999999,1.0996002653185829e-06,19.0,7.953048387096774,7.952999999999999,4.207470271027337e-07,0.0009308451889180272,7.952231900220083
2020-09-10_131944_ROTTMPT70_2020005976,13:38,8.044333333333334,8.048,8.049469387755103,8.05,0.0,74.0,8.051,8.051,0.0,0.0,8.051
2020-09-10_134410_TERSLG175_2020005984,14:01,7.887395061728395,7.877999999999999,7.875102040816327,7.874,1.2121603884006753e-06,71.0,7.871900000000001,7.872000000000001,4.3981641990797515e-06,0.0005676462121973538,7.8732728177019595
2020-09-10_140851_TERSLG235_2020005974,14:27,7.910308641975307,7.912999999999999,7.914510204081632,7.915,1.3867231592537417e-22,75.0,7.915333333333333,7.915,9.200996803590457e-06,0.0005163977794944947,7.915333333333333
2020-09-10_143441_ROTTMPT50_2020005975,14:53,8.043469135802468,8.049,8.051244897959183,8.052,1.9047619047743832e-06,75.0,8.053166666666666,8.052999999999999,1.3378607940136615e-05,0.0007527726527094504,8.050952314285698
2020-09-10_145853_GOERE6_2020005964,15:14,8.065851851851853,8.067,8.067102040816327,8.067,9.028281727287777e-12,62.0,8.067315789473685,8.067,1.6733845114087129e-06,0.0005823927253574959,8.067315779858236
2020-09-10_152336_NOORDWK20_2020005967,15:40,8.125037037037037,8.127,8.128,8.128,7.325787281871705e-07,68.0,8.129000000000001,8.129,2.095491053016521e-06,0.00040824829046399937,8.128186807406928
2020-09-10_154821_WALCRN20_2020005960,17:20,7.921931758530184,7.902,7.907363896848138,7.893,1.1188695852618616e-05,369.0,7.831333333333333,7.8315,5.181568339539349e-06,0.0010730867399774272,7.894187070501093
2020-09-10_172708_CRM2,17:38,7.857950617283951,7.861000000000001,7.8610625,7.861000000000001,7.902452827672575e-08,44.0,7.860837837837839,7.861000000000001,9.019249456297466e-07,0.0008664587415166949,7.8609112149294615
2020-09-15_102619_CRM1,10:34,7.9598249999999995,7.96,7.9595,7.959,2.1162543109726887e-10,32.0,7.9595,7.959,8.398917213363766e-06,0.000755928946018707,7.959500112698373
2020-09-15_104319_WALCRN70_2020005961,11:00,8.043925925925924,8.05,8.052530612244897,8.052999999999999,1.9047127859656799e-06,67.0,8.054928571428572,8.055,3.313166773857136e-06,0.0007300459115475688,8.052828537421053
2020-09-15_110822_NOORDWK70_2020005968,11:20,8.013172839506172,8.012,8.011591836734695,8.012,2.444118556011681e-08,49.0,8.0114375,8.011000000000001,1.038876035710326e-06,0.0008007053342259237,8.011413851768225
2020-09-15_113335_NOORDWK10_2020005966,11:51,8.100012345679012,8.107000000000001,8.10826530612245,8.109,9.876631000479024e-11,72.0,8.109555555555556,8.11,4.84930800171104e-06,0.0005270462766944377,8.109555668153856
2020-09-15_115755_GOERE2_2020005963,12:06,8.058074074074074,8.058,8.057040816326532,8.057,6.150974523198032e-08,33.0,8.057020833333334,8.057,5.117629278579539e-07,0.000729021008754264,8.056968701245967
2020-09-15_122345_WALCRN2_2020005959,12:41,8.048814814814815,8.048,8.047408163265306,8.047,2.9626995985922614e-10,72.0,8.047555555555554,8.048,4.849070928143288e-06,0.0005270462766944377,8.047555893319604
2020-09-15_124748_NOORDWK2_2020005965,13:05,8.020604938271603,8.02,8.019591836734694,8.02,9.54960615404261e-11,70.0,8.01990909090909,8.02,5.569184366402922e-06,0.0008312094145936197,8.01990919834776
2020-09-15_131320_SCHOUWN10_2020005962,13:30,8.036555555555555,8.038,8.038714285714288,8.039,2.930507692041106e-07,67.0,8.039285714285713,8.039,2.8107135681834624e-06,0.0006112498455017878,8.038962611515974
2020-09-15_133821_NOORDWK2_2020004017,13:54,7.812901234567901,7.801,7.794530612244897,7.792999999999999,7.380797432398375e-06,66.0,7.7894666666666685,7.79,3.87543458186142e-06,0.001060098827378678,7.797548960673806
2020-09-15_140233_WALCRN2_2020004011,14:20,7.794819277108435,7.7989999999999995,7.8005490196078435,7.801,5.2595471940211665e-11,70.0,7.801846153846156,7.8020000000000005,4.13236642227203e-06,0.0008006407690254897,7.801846213807146
