filename,analysis_date,time,location,T_room,T_bath,dPhi_4,dPhi_10,offset,pH_CRM_calc,pH_opt,time_to_eq,flag,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept
2020-09-15_104319_WALCRN70_2020005961,15/09/2020,11:00,WALCRN70,19.9,20.0,24.265301,53.051502,-0.36425,,8.05,20.0,2.0,8.043925925925924,8.05,8.052530612244897,8.052999999999999,1.9047127859656799e-06,67.0,8.054928571428572,8.055,3.313166773857136e-06,0.0007300459115475688,8.052828537421053
2020-09-15_110822_NOORDWK70_2020005968,15/09/2020,11:20,NOORDWK70,21.3,20.0,24.265301,53.051502,-0.36425,,8.01,20.0,2.0,8.013175,8.012,8.011591836734695,8.012,2.444118556011681e-08,49.0,8.011387096774193,8.011000000000001,1.0286247067726144e-06,0.0007605883404679338,8.012006470552343
2020-09-15_113335_NOORDWK10_2020005966,15/09/2020,11:51,NOORDWK10,20.5,20.0,24.265301,53.051502,-0.36425,,8.11,20.0,2.0,8.100012345679012,8.107000000000001,8.10826530612245,8.109,9.876631000479024e-11,72.0,8.109555555555556,8.11,4.84930800171104e-06,0.0005270462766944377,8.109555668153856
2020-09-15_115755_GOERE2_2020005963,15/09/2020,12:06,GOERE2,20.7,20.0,24.265301,53.051502,-0.36425,,8.06,20.0,2.0,8.058074074074074,8.058,8.057040816326532,8.057,6.150974523198032e-08,33.0,8.057020833333334,8.057,5.117629278579539e-07,0.000729021008754264,8.056968701245967
2020-09-15_122345_WALCRN2_2020005959,15/09/2020,12:41,WALCRN2,20.7,20.0,24.265301,53.051502,-0.36425,,8.05,20.0,2.0,8.0488375,8.048,8.047408163265306,8.047,2.9626995985922614e-10,72.0,8.047625,8.048,5.517560448261399e-06,0.0005175491695064788,8.04313081393059
2020-09-15_124748_NOORDWK2_2020005965,15/09/2020,13:05,NOORDWK2,20.6,20.0,24.265301,53.051502,-0.36425,,8.02,20.0,2.0,8.020624999999999,8.02,8.019591836734694,8.02,9.54960615404261e-11,70.0,8.02,8.02,6.193703637217112e-06,0.000816496580927757,8.015484794960798
2020-09-15_131320_SCHOUWN10_2020005962,15/09/2020,13:30,SCHOUWN10,20.7,20.0,24.265301,53.051502,-0.36425,,8.04,20.0,2.0,8.0365125,8.038,8.038714285714288,8.039,2.930507692041106e-07,67.0,8.039230769230768,8.039,3.060682086154827e-06,0.000599144689514946,8.040835234009242
2020-09-15_133821_NOORDWK2_2020004017,15/09/2020,13:54,NOORDWK2,19.8,20.0,24.265301,53.051502,-0.36425,,7.79,20.0,2.0,7.812901234567901,7.801,7.794530612244897,7.792999999999999,7.380797432398375e-06,66.0,7.7894666666666685,7.79,3.87543458186142e-06,0.001060098827378678,7.797548960673806
2020-09-15_140233_WALCRN2_2020004011,15/09/2020,14:20,WALCRN2,20.3,20.0,24.265301,53.051502,-0.36425,,7.8,20.0,2.0,7.7946543209876555,7.7989999999999995,7.8005490196078435,7.801,5.2595471940211665e-11,70.0,7.801909090909092,7.8020000000000005,5.510315073055074e-06,0.000831209414593678,7.799181799010465
2020-09-15_142745_NOORDWK70_2020004020,15/09/2020,14:44,NOORDWK70,20.6,20.0,24.265301,53.051502,-0.36425,,7.9,20.0,2.0,7.88441975308642,7.894,7.896807692307694,7.897,1.3071699842896765e-11,68.0,7.898461538461539,7.899,3.378905814879795e-06,0.0006602252917735814,7.900087993495555
2020-09-15_145318_WALCRN70_2020004013,15/09/2020,15:10,WALCRN70,20.0,20.0,24.265301,53.051502,-0.36425,,7.91,20.0,2.0,7.9027,7.905,7.9059591836734695,7.906000000000001,1.4691969280227248e-11,70.0,7.907000000000001,7.907,8.874964804655695e-06,0.0011547005383789534,7.902484727348782
2020-09-15_151800_NOORDWK10_2020004018,15/09/2020,15:34,NOORDWK10,21.3,20.0,24.265301,53.051502,-0.36425,,7.81,20.0,2.0,7.823025000000001,7.82,7.817551020408163,7.817,1.797361431715846e-06,64.0,7.8160625,7.816,4.4120299902556015e-06,0.0011814539065630831,7.814905811490982
2020-09-15_154239_TERSLG50_2020004022,15/09/2020,15:58,TERSLG50,20.6,20.0,24.265301,53.051502,-0.36425,,7.85,20.0,2.0,7.8440987654321,7.848,7.848755102040816,7.849,6.880705119906238e-08,63.0,7.849388888888888,7.849,2.4273679077097416e-06,0.0007775443160350935,7.849462687410003
2020-09-15_160630_NOORDWK20_2020004019,15/09/2020,16:20,NOORDWK20,20.3,20.0,24.265301,53.051502,-0.36425,,7.87,20.0,2.0,7.861724999999998,7.864,7.864714285714286,7.865,1.3675980392819029e-07,55.0,7.864960000000001,7.865,1.3838076622572367e-06,0.0007348469228351988,7.865475415147997
2020-09-15_163010_TERSLG10_2020004021,15/09/2020,16:43,TERSLG10,20.1,20.0,24.265301,53.051502,-0.36425,,7.88,20.0,2.0,7.876925,7.881,7.882102040816326,7.882000000000001,9.948494883583356e-12,54.0,7.882307692307693,7.8825,1.5724256734875609e-06,0.0008840466399107925,7.882125816630689
2020-09-15_165314_CRM2,15/09/2020,17:11,CRM,20.0,20.0,24.265301,53.051502,-0.36425,7.95961498960607,7.95,20.0,2.0,7.946487499999999,7.952000000000001,7.953571428571428,7.954,1.4814386834101273e-10,72.0,7.9544999999999995,7.9544999999999995,5.795872960929923e-06,0.0005345224838250273,7.958095497654302
2020-09-16_102128_CRM1,16/09/2020,10:27,CRM,19.8,20.0,24.35375,53.057446,-0.3548,7.95961498960607,7.96,20.0,2.0,7.961675,7.962000000000001,7.962,7.961500000000001,1.9606188083742988e-07,24.0,7.962125,7.962000000000001,3.5825912778713316e-06,0.0009574271077559776,7.962217653122328
2020-09-16_103737_GOERE6_2020004016,16/09/2020,10:54,GOERE6,20.5,20.0,24.35375,53.057446,-0.3548,,7.8,20.0,2.0,7.820562499999999,7.811,7.806571428571428,7.805,5.8607508484391115e-06,68.0,7.802666666666668,7.8025,4.4650862563192865e-06,0.0007784989441610916,7.805750754489081
2020-09-16_110016_SCHOUWN10_2020004014,16/09/2020,11:19,SCHOUWN10,20.0,20.0,24.35375,53.057446,-0.3548,,7.83,20.0,2.0,7.823839506172841,7.827999999999999,7.829836734693878,7.83,0.0,75.0,7.831,7.831,1.5936381457797235e-05,0.0008944271910002145,7.831
2020-09-16_112313_WALCRN20_2020004012,16/09/2020,11:41,WALCRN20,20.0,20.0,24.35375,53.057446,-0.3548,,7.94,30.0,2.0,7.922333333333333,7.931,7.935674157303372,7.936,4.193508048640628e-07,75.0,7.937499999999999,7.9375,7.126827307791345e-06,0.0005477225575048625,7.953000199986785
2020-09-16_121738_GOERE2_2020004015,16/09/2020,12:36,GOERE2,21.3,20.0,24.35375,53.057446,-0.3548,,7.8,30.0,2.0,7.821187499999999,7.8115000000000006,7.805920454545455,7.805,3.4740644465540433e-06,74.0,7.804666666666666,7.805,1.8002728921572886e-05,0.0010327955589887027,7.8134097339435105
2020-09-16_125016_NOORDWK20_2020003075,16/09/2020,13:00,NOORDWK20,21.0,20.0,24.35375,53.057446,-0.3548,,7.8,30.0,2.0,7.800025,7.803,7.803647727272727,7.803999999999999,1.2219793486956838e-06,41.0,7.803282051282051,7.803,7.882996682498655e-07,0.0008255370803207815,7.80378004128297
2020-09-16_132252_NOORDWK2_2020003073,16/09/2020,13:40,NOORDWK2,20.5,20.0,24.35375,53.057446,-0.3548,,7.78,30.0,2.0,7.783087500000001,7.781000000000001,7.7792272727272715,7.779,1.2245003111439706e-07,71.0,7.778666666666666,7.779,8.56523652722275e-06,0.0010000000000001488,7.788667045296228
2020-09-16_135702_GOERE6_2020003072,16/09/2020,14:15,GOERE6,21.3,20.0,24.35375,53.057446,-0.3548,,8.12,30.0,3.0,8.103592592592593,8.116,8.120329545454545,8.121,4.734231589306253e-06,75.0,8.121166666666667,8.121,6.6892359549650475e-06,0.00040824829046363676,8.114524004178111
2020-09-16_143102_NOORDWK10_2020003074,16/09/2020,14:49,NOORDWK10,21.4,20.0,24.35375,53.057446,-0.3548,,8.02,30.0,3.0,8.104061728395061,8.101,8.042488636363636,8.025500000000001,3.7416180820677296e-06,75.0,8.023166666666667,8.0225,1.8002599315095545e-05,0.0019407902170677303,8.09181052758353
2020-09-16_151745_CRM2_2,16/09/2020,15:35,CRM,20.0,20.0,24.35375,53.057446,-0.3548,,7.97,30.0,2.0,7.972112499999999,7.968999999999999,7.967295454545454,7.9670000000000005,1.361064253175617e-08,71.0,7.966777777777777,7.9670000000000005,6.892000968591256e-06,0.0008333333333332859,7.976778320979459
2020-09-16_155617_GOERE2_2020003071,16/09/2020,16:14,GOERE2,20.2,20.0,24.35375,53.057446,-0.3548,,7.79,30.0,2.0,7.8098875,7.797000000000001,7.790840909090909,7.79,3.877472107581029e-06,71.0,7.789777777777778,7.79,7.6211557544716044e-06,0.0008333333333336117,7.7872776062961995
2020-09-16_162817_CRM_3,16/09/2020,16:46,CRM,20.0,20.0,24.35375,53.057446,-0.3548,,7.97,30.0,2.0,7.947913580246914,7.959,7.963215909090908,7.9639999999999995,1.1347300062845261e-06,74.0,7.964714285714286,7.965,1.5208255930664759e-05,0.0011126972805287451,7.970214708849931
