batch_number,analysis_date,n_samples,mean_all,median_all,standard_error_batch,standard_error_all_batches,mean_R,median_R,standard_error_batch_R,standard_error_all_batches_R,mean_U,median_U,standard_error_batch_U,standard_error_all_batches_U
1,2021-09-29,10.0,2168.64001932958,2168.7267967054086,0.7480263477247682,0.42307588648461475,2168.796002391733,2169.728358170443,0.9860573970876211,0.5404372340734498,2168.484036267426,2167.725235240374,1.1207730327497443,0.6322796642187853
2,2021-10-13,10.0,2167.0855982366465,2166.6540802854515,0.588737932186806,0.42307588648461475,2167.993464298716,2167.4548289784966,0.6510899932498027,0.5404372340734498,2166.1777321745767,2165.578247133813,0.7955142470184341,0.6322796642187853
4,2021-10-29,9.0,2166.9219658079473,2167.4368115412763,0.7230109327863916,0.42307588648461475,2166.740007731834,2166.617285157511,0.8981629669873306,0.5404372340734498,2167.067532268838,2167.4368115412763,1.0806812507008368,0.6322796642187853
