,filename,time,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept,station,bottle,data_index,pH_calc12_total_20,pH_spectro_total_20,pH_vindta_total_20
0,2020-09-10_103422_CRM1,10:39,7.960975,7.961,7.961125,7.961,2.5972418320159806e-07,19.0,7.9610952380952416,7.961,1.725239918289077e-06,0.0007003400534572602,7.9609822508898445,,,,,,
1,2020-09-10_105117_TERSLG10_2020005969,11:00,8.05632098765432,8.059,8.060367346938776,8.06,4.0930370196556545e-06,36.0,8.060577777777779,8.061,5.760309441390594e-07,0.0010972877489705665,8.057016691495775,TERSLG10,2020005969,538.0,8.062138189179473,8.06797071575901,8.058495700727201
2,2020-09-10_111641_TERSLG50_2020005970,11:19,8.052204819277108,8.052,8.052313725490196,8.052,4.286889643114697e-09,11.0,8.052305555555558,8.052,3.0403990255939176e-07,0.000798570710687747,8.05230256531017,TERSLG50,2020005970,539.0,8.044999050500916,8.052642612198477,8.043590903560025
3,2020-09-10_114043_TERSLG100_2020005971,11:50,8.034617283950617,8.033999999999999,8.033612244897961,8.033999999999999,1.0800191065265509e-08,39.0,8.033619047619048,8.033999999999999,5.351496463211513e-07,0.0006228330611545704,8.033628687166296,TERSLG100,2020005971,540.0,8.022730776088286,8.032077575452183,8.021695757335829
4,2020-09-10_120444_TERSLG135_2020005972,12:19,7.983987654320988,7.982,7.980877551020409,7.981,8.657315034211693e-08,60.0,7.980523809523809,7.981,2.4173930984073886e-06,0.0009807674351775108,7.980432903679992,TERSLG135,2020005972,541.0,7.973130688343747,7.980494674610023,7.9702135122849365
5,2020-09-10_122924_TERSLG175_2020005983,12:42,7.9566790123456785,7.956,7.955428571428571,7.955,1.822938465538593e-08,53.0,7.954964285714285,7.955,1.3320246793859785e-06,0.0008380817098478057,7.954982470402442,TERSLG175,2020005983,550.0,7.95151965567965,7.95902817375885,7.948845126918046
6,2020-09-10_125429_TERSLG175_2020005973,12:59,7.952518518518517,7.9529999999999985,7.9531020408163275,7.9529999999999985,1.0996002653185827e-06,19.0,7.953048387096773,7.9529999999999985,4.207470271027337e-07,0.0009308451889180273,7.952231900220082,TERSLG175,2020005973,542.0,,7.952662359691399,
7,2020-09-10_131944_ROTTMPT70_2020005976,13:38,8.044333333333334,8.048,8.049469387755103,8.05,0.0,74.0,8.051,8.051,0.0,0.0,8.051,ROTTMPT70,2020005976,545.0,,8.046865287690391,
8,2020-09-10_134410_TERSLG175_2020005984,14:01,7.887395061728394,7.877999999999999,7.875102040816327,7.874,1.2121603884006753e-06,71.0,7.871900000000001,7.872000000000001,4.3981641990797515e-06,0.0005676462121973538,7.873272817701959,TERSLG175,2020005984,551.0,7.869153801036326,7.873461031596057,7.86774528851449
9,2020-09-10_140851_TERSLG235_2020005974,14:27,7.910308641975307,7.9129999999999985,7.914510204081633,7.915,1.3867231592537415e-22,75.0,7.915333333333333,7.915,9.200996803590455e-06,0.0005163977794944947,7.915333333333333,TERSLG235,2020005974,543.0,,7.918264170572312,
10,2020-09-10_143441_ROTTMPT50_2020005975,14:53,8.043469135802468,8.049,8.051244897959183,8.052,1.9047619047743832e-06,75.0,8.053166666666666,8.052999999999999,1.3378607940136615e-05,0.0007527726527094504,8.050952314285697,ROTTMPT50,2020005975,544.0,,8.05639975267655,
11,2020-09-10_145853_GOERE6_2020005964,15:14,8.065851851851853,8.067,8.067102040816327,8.067,9.028281727287776e-12,62.0,8.067315789473685,8.067,1.6733845114087129e-06,0.0005823927253574959,8.067315779858236,GOERE6,2020005964,533.0,8.068362394142392,8.08999456098632,8.063220096490777
12,2020-09-10_152336_NOORDWK20_2020005967,15:40,8.125037037037037,8.127,8.128,8.128,7.325787281871705e-07,68.0,8.129000000000001,8.129,2.095491053016521e-06,0.00040824829046399937,8.128186807406927,NOORDWK20,2020005967,536.0,8.125724283648474,8.128756433113017,8.115327436893933
13,2020-09-10_154821_WALCRN20_2020005960,17:20,7.921931758530184,7.902,7.907363896848137,7.893,1.1188695852618616e-05,369.0,7.831333333333332,7.8315,5.181568339539348e-06,0.0010730867399774274,7.894187070501093,WALCRN20,2020005960,529.0,8.020956055750588,8.025871208438337,8.016709344666621
14,2020-09-10_172708_CRM2,17:38,7.857950617283951,7.8610000000000015,7.8610625,7.8610000000000015,7.902452827672576e-08,44.0,7.860837837837839,7.8610000000000015,9.019249456297466e-07,0.0008664587415166949,7.860911214929461,,,,,,
