Latitude,Longitude,Station,Niskin,Temperature,Salinity,DIC_VINDTA,DIC_QUAATRO
47.25138888888889,-10.176388888888887,1,1,2.484317307692308,34.90321634615383,2207.761895943978,2234.25
47.25138888888889,-10.176388888888887,1,6,2.6064669287412983,34.922463026386524,2201.203885776877,2227.5
47.25138888888889,-10.176388888888887,1,7,3.195983921065345,34.955607659115735,2190.353651230216,2225.8
47.25138888888889,-10.176388888888887,1,8,5.4958673034452445,35.16687569383085,2166.286312203607,2197.9
47.25138888888889,-10.176388888888887,1,9,9.494242785334158,35.59715712596085,2194.547779159418,2224.65
47.25138888888889,-10.176388888888887,1,10,10.911860993079,35.55481377353945,2196.565429482845,2223.05
47.25138888888889,-10.176388888888887,1,14,12.71818298122064,35.62650453834114,2146.557208948372,2182.6000000000004
47.25138888888889,-10.176388888888887,1,15,13.657859260700407,35.66284715953313,2116.426344622538,2155.55
47.25138888888889,-10.176388888888887,1,17,13.671232124573413,35.66490418088749,2118.041246677084,2158.05
47.25138888888889,-10.176388888888887,1,19,13.665488064516108,35.66484415322593,2117.265359355256,2156.75
47.25138888888889,-10.176388888888887,1,20,13.664001470588236,35.66477352941176,2117.728280733653,2161.3999999999996
47.25138888888889,-10.176388888888887,1,24,13.659704000000012,35.66470333333331,2118.2705559305778,2155.95
31.280555555555555,-25.00277777777778,3,3,2.4513660122699577,34.892512883435074,2197.643000978612,2226.05
31.280555555555555,-25.00277777777778,3,6,2.583861778806403,34.925206641593746,2193.256698796392,2226.0
31.280555555555555,-25.00277777777778,3,7,3.3051144678163737,34.99883738111215,2188.990151064025,2217.9
31.280555555555555,-25.00277777777778,3,8,4.092020454545455,35.07765568181817,2170.0626703954267,2203.05
31.280555555555555,-25.00277777777778,3,13,10.823087196116536,35.577941320388284,2192.0256215805366,2228.45
31.280555555555555,-25.00277777777778,3,14,14.58102452339687,35.944176237242445,2154.7947227985005,2188.65
31.280555555555555,-25.00277777777778,3,17,20.26015031358886,36.84031867595823,2127.3139629864763,2162.6499999999996
31.280555555555555,-25.00277777777778,3,19,20.69846051300577,36.92720791184978,2116.2509187569126,2154.7
31.280555555555555,-25.00277777777778,3,21,20.692747085761795,36.92795174854291,2113.6012119939514,2155.1499999999996
31.280555555555555,-25.00277777777778,3,23,20.685325416666696,36.92723298611114,2110.9028307732065,2162.1
31.280555555555555,-25.00277777777778,3,24,20.68587906504068,36.92712296747968,2108.2654635316608,2161.25
31.03111111111111,-29.53305555555556,4,1,2.4696145833333336,34.905305208333324,2196.3304650584,2232.3999999999996
31.03111111111111,-29.53305555555556,4,11,3.2661294284035285,34.98496059988186,2184.737174360507,2222.6
31.03111111111111,-29.53305555555556,4,12,5.987617306305975,35.28012724245639,2178.199819209405,2203.2
31.03111111111111,-29.53305555555556,4,13,10.522661264241066,35.55228676344455,2187.73739694828,2226.55
31.03111111111111,-29.53305555555556,4,14,14.303851096869575,35.91113161819076,2162.244444953854,2194.95
31.03111111111111,-29.53305555555556,4,18,19.717101122413165,36.68127332514906,2117.4185596863927,2161.55
31.03111111111111,-29.53305555555556,4,19,20.45193002947678,36.81176121960208,2109.4038301386786,2154.75
31.03111111111111,-29.53305555555556,4,21,20.53027696980212,36.83438651509896,2109.288468068091,2153.3
31.03111111111111,-29.53305555555556,4,23,20.57782511660443,36.85064232742525,2105.206334863694,2152.95
31.03111111111111,-29.53305555555556,4,24,20.57849278350514,36.85126005154639,2102.6937207908745,2150.6
31.139166666666668,-34.07083333333333,5,1,2.490069696969697,34.908728787878786,2195.8442512882702,2225.85
31.139166666666668,-34.07083333333333,5,7,3.2666088019288053,34.99187429710672,2185.606051789849,2222.4
31.139166666666668,-34.07083333333333,5,11,5.964102598135077,35.27102690066194,2177.2995271815034,2206.25
31.139166666666668,-34.07083333333333,5,12,10.763956407759943,35.5653218736478,2187.216126943237,2224.8999999999996
31.139166666666668,-34.07083333333333,5,13,15.224290558531006,36.06730668706962,2152.911995893057,2194.7
31.139166666666668,-34.07083333333333,5,15,18.05890032180951,36.51645475358586,2137.234735077689,2192.55
31.139166666666668,-34.07083333333333,5,16,19.50023695652173,36.75367971014494,2121.879780382881,2177.45
31.139166666666668,-34.07083333333333,5,19,21.700028975741056,37.15782895327942,2119.49938864436,2178.0
31.139166666666668,-34.07083333333333,5,20,21.69823333333333,37.15712666666667,2121.682987791665,2173.25
31.139166666666668,-34.07083333333333,5,23,21.69986074653812,37.15509876580391,2117.443850931318,2168.9
31.139166666666668,-34.07083333333333,5,24,21.69973285714285,37.154625714285714,2112.875943525965,2170.9
33.44694444444444,-34.620555555555555,6,1,2.6738418478260866,34.930409239130434,2189.7334659256176,2227.05
33.44694444444444,-34.620555555555555,6,7,3.2778245382634763,34.97762906234778,2178.3820509307925,2216.55
33.44694444444444,-34.620555555555555,6,8,4.018198620689653,35.050652758620686,2171.2557734256684,2197.6499999999996
33.44694444444444,-34.620555555555555,6,12,9.010254737369396,35.43974750250461,2191.649725373274,2228.3500000000004
33.44694444444444,-34.620555555555555,6,13,11.721401677948377,35.584107064543815,2184.4313210386244,2211.0
33.44694444444444,-34.620555555555555,6,14,16.312659477987395,36.22102030188687,2150.2543540039733,2192.05
33.44694444444444,-34.620555555555555,6,16,18.888574324324324,36.62652837837838,2119.017168288193,2162.8
33.44694444444444,-34.620555555555555,6,19,21.56837885638293,36.94161574135639,2136.7693158882653,2157.95
33.44694444444444,-34.620555555555555,6,20,21.878772368421053,36.97579736842104,2100.0280553692787,2151.55
