batch_number,analysis_date,time_since_sampling,n_samples,mean,median,standard_error_batch,standard_error_all_batches
1,2021-10-06,1.0,10.0,2281.685343588747,2281.607966273713,0.30110524200897526,2.810744672516863
2,2021-10-13,8.0,9.0,2281.917497178968,2281.4721035225834,0.32277534758129495,2.810744672516863
3,2021-10-27,22.0,7.0,2282.937594273607,2282.736849863642,0.3938949994795741,2.810744672516863
4,2021-11-18,44.0,10.0,2284.5147973836793,2284.715608805658,0.3019982925696757,2.810744672516863
5,2022-01-19,106.0,9.0,2284.1476845914485,2285.07118588538,0.4376502562323244,2.810744672516863
7,2022-02-18,136.0,9.0,2283.9173368360443,2283.8176888986773,0.47663585756833143,2.810744672516863
11,2022-04-12,189.0,10.0,2280.6366704528673,2280.249680993131,0.4066699150843017,2.810744672516863
12,2022-06-10,248.0,10.0,2283.163456998647,2283.0506128838324,0.4224615772621033,2.810744672516863
