EXPOCODE,Cruise_ID,Station_ID,Cast_number,Niskin_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,CTDPRES,Depth,CTDTEMP_ITS90,CTDSAL_PSS78,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag,pH_initial_talk
06SN20201204,SO279,1,1,20,2020,12,8,08:00:00,47.25138888888889,-10.176388888888887,23.354617647058816,23.159029411764703,13.664001470588236,35.66477352941176,2117.728279066303,2.0,2344.1050407120965,2.0,0.9331932346857372,2.0,0.221096514284853,2.0,2.6541343149691627,2.0,0.2357386675487505,2.0,2.8898729825179137,2.0,0.1112803648056213,2.0,7.986594084755837
06SN20201204,SO279,1,1,21,2020,12,8,08:00:00,47.25138888888889,-10.176388888888887,16.02685094339624,15.892856603773572,13.661191320754718,35.66476424528307,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,1,1,22,2020,12,8,08:00:00,47.25138888888889,-10.176388888888887,13.907363636363636,13.791159090909089,13.659981818181816,35.664742045454545,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,1,1,23,2020,12,8,08:00:00,47.25138888888889,-10.176388888888887,12.88006976744186,12.772232558139535,13.65785348837209,35.66473953488372,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,1,1,24,2020,12,8,08:00:00,47.25138888888889,-10.176388888888887,13.34220444444444,13.230688888888876,13.659704000000012,35.66470333333331,2118.2705498781,2.0,2342.1794074829504,2.0,0.9453950782237532,2.0,0.1996213665428575,2.0,2.5272357847406264,2.0,0.2250011001864482,2.0,2.752236884927074,2.0,0.1459334684506464,2.0,7.983697157989815
06SN20201204,SO279,3,1,1,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,5513.78527586207,5406.225948275863,2.47975,34.89201465517242,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,2,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,5511.442749999999,5403.957083333333,2.4793854166666662,34.89199270833334,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,3,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,5277.775548682785,5177.468893756769,2.4513660122699577,34.892512883435074,2197.643157870365,2.0,2349.500810238867,2.0,46.88658304212253,2.0,1.530003798260284,3.0,22.60528114193115,2.0,0.004883510367891,2.0,22.61016465229904,2.0,0.105972174983237,2.0,7.824441910197017
06SN20201204,SO279,3,1,4,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,4984.455297297299,4892.967486486487,2.425089189189189,34.89391216216217,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,5,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,4530.537031064901,4451.755004431439,2.434591702464368,34.90059348632148,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
